prompt_tokens,cached_prefix_tokens,queue_depth_target,trials_total,trials_ok,trials_error,ttft_median_ms,ttft_p95_ms,e2e_median_ms,e2e_p95_ms,queue_depth_observed_median,prefix_cache_hit_tokens_batch_median
128,0,0,30,30,0,38.574125,39.947142150000005,38.62325,40.0254628,0.0,0.0
128,0,2,30,30,0,786.611875,873.70503545,786.6516045000001,873.7494624999999,2.0,0.0
128,0,8,30,30,0,3261.4177085,3434.0954273,3261.4562085,3434.1351543500004,8.0,0.0
128,64,0,30,30,0,26.099792,28.8819875,26.1406875,28.9911477,0.0,64.0
128,64,2,30,30,0,776.7950625,816.6729894,776.8273959999999,816.7105769,2.0,64.0
128,64,8,30,30,0,3263.403021,3511.2213062499995,3263.436375,3511.2696187499996,8.0,64.0
512,0,0,30,30,0,118.47162499999999,121.0300125,118.5042085,121.09037675,0.0,0.0
512,0,2,30,30,0,989.564104,1024.3492103,989.598146,1024.3880273,2.0,0.0
512,0,8,30,30,0,4115.3889375,4248.11195625,4115.427771000001,4248.16030625,8.0,0.0
512,64,0,30,30,0,107.910583,113.48273560000001,107.9518745,113.53709025,0.0,64.0
512,64,2,30,30,0,987.3035625,1045.844692,987.3584375,1045.8937105999998,2.0,64.0
512,64,8,30,30,0,4060.0870625,4280.0415913,4060.1635625,4280.1354997,8.0,64.0
512,256,0,30,30,0,69.896188,73.6517981,69.9308125,73.69189605,0.0,256.0
512,256,2,30,30,0,953.097687,1025.1286161499997,953.1343125,1025.2234955,2.0,256.0
512,256,8,30,30,0,3958.1562080000003,4135.07166495,3958.192896,4135.11729375,8.0,256.0
1024,0,0,30,30,0,240.0999585,252.23038354999994,240.130646,252.27097759999992,0.0,0.0
1024,0,2,30,30,0,1265.7684585,1336.60325015,1265.8049580000002,1336.64746905,2.0,0.0
1024,0,8,30,30,0,5140.280041,5315.479181249999,5140.3130205,5315.536176899999,8.0,0.0
1024,64,0,30,30,0,228.35958349999999,232.7104516,228.3969585,232.79703925,0.0,64.0
1024,64,2,30,30,0,1242.8328335,1293.8685064,1242.8862709999999,1293.91560435,2.0,64.0
1024,64,8,30,30,0,5068.821395999999,5263.8937581499995,5068.8660629999995,5263.9790291,8.0,64.0
1024,256,0,30,30,0,188.527604,193.92903109999997,188.56566650000002,193.9875564,0.0,256.0
1024,256,2,30,30,0,1200.8655415,1255.8696728,1200.9165415,1255.91780435,2.0,256.0
1024,256,8,30,30,0,5007.433792,5247.8163984,5007.4894585,5247.86081715,8.0,256.0
1024,512,0,30,30,0,137.62285400000002,141.46477905,137.65920849999998,141.5030936,0.0,512.0
1024,512,2,30,30,0,1157.1092079999999,1229.9985546499997,1157.158479,1230.0510609,2.0,512.0
1024,512,8,30,30,0,4988.266250000001,5151.9723623499995,4988.3022495,5152.00968315,8.0,512.0
