prompt_tokens,cached_prefix_tokens,queue_depth_target,trials_total,trials_ok,trials_error,ttft_median_ms,ttft_p95_ms,e2e_median_ms,e2e_p95_ms,queue_depth_observed_median,prefix_cache_hit_tokens_batch_median
128,0,0,3,3,0,40.552834,121.60113340000001,40.584125,121.6423622,0.0,0.0
128,0,2,3,3,0,470.355875,499.41889999999995,470.421459,503.04728339999997,2.0,0.0
128,64,0,3,3,0,27.31975,27.336399999999998,27.359125,27.3775003,0.0,64.0
128,64,2,3,3,0,458.826,492.9475506,458.906042,493.0100417,2.0,64.0
512,0,0,3,3,0,125.661,136.7525244,125.781958,136.810783,0.0,0.0
512,0,2,3,3,0,645.173042,686.6386286,645.283834,686.7388078,2.0,0.0
512,64,0,3,3,0,112.502667,133.0015161,112.539709,133.5413584,0.0,64.0
512,64,2,3,3,0,625.467042,641.5096544999999,625.525375,641.5733875,2.0,64.0
512,256,0,3,3,0,71.856125,74.6155628,71.892167,74.6563289,0.0,256.0
512,256,2,3,3,0,579.829334,579.9342578000001,579.871084,579.9772831,2.0,256.0
1024,0,0,3,3,0,247.113625,247.67822470000002,247.165208,247.7687705,0.0,0.0
1024,0,2,3,3,0,875.587208,881.1654089,875.645208,881.2231083,2.0,0.0
1024,64,0,3,3,0,231.688959,235.4177337,231.726375,235.49606279999998,0.0,64.0
1024,64,2,3,3,0,865.617666,918.5536041,865.681458,918.5962083,2.0,64.0
1024,256,0,3,3,0,196.12375,201.3209872,196.28525,201.37838779999998,0.0,256.0
1024,256,2,3,3,0,892.517792,967.0652789000001,892.567042,967.135192,2.0,256.0
